line,station
47,Csonka János tér
47,Hauszmann Alajos utca
47,Etele út / Fehérvári út
48,Deák Ferenc tér M
48,Astoria M
48,Kálvin tér M
48,Fővám tér M
48,Szent Gellért tér M
48,Gárdonyi tér
48,Móricz Zsigmond körtér M
48,Újbuda-központ M
48,Csonka János tér
48,Hauszmann Alajos utca
48,Etele út / Fehérvári út
48,Kalotaszeg utca
48,Andor utca
48,Albertfalva kitérő
48,Albertfalva utca
48,Fonyód utca
48,Budafok kocsiszín
48,Savoya Park
49,Deák Ferenc tér M
49,Astoria M
49,Kálvin tér M
49,Fővám tér M
49,Szent Gellért tér M
49,Gárdonyi tér
49,Móricz Zsigmond körtér M
49,Kosztolányi Dezső tér
49,Karolina út
49,Csóka utca
49,Szent Gellért-templom
49,Kelenföld vasútállomás M
50,Határ út M
50,Corvin körút
50,Lehel utca
50,Kossuth tér
50,Fő utca
50,Árpád utca
50,Villanytelep
50,Lajosmizsei sorompó
50,Tinódi utca
50,Margó Tivadar utca
50,Kemény Zsigmond utca
50,Baross utca
50,Thököly út
50,Szarvas csárda tér
50,Madarász utca
50,Iparvasút
50,Honvéd utca
50,Bajcsy-Zsilinszky út
50,Ungvár utca
50,"Pestszentlőrinc, Béke tér"
51,Mester utca / Ferenc körút
51,Bokréta utca
51,Ferencvárosi rendelőintézet
51,Haller utca / Mester utca
51,Vágóhíd utca
51,Mester utca / Könyves Kálmán körút
51,Koppány utca
51,Hentes utca
51,Magyar Aszfalt
51,Kén utca
51,Illatos út
51,Timót utca
51,Fegyvergyár utca
51,Gubacsi út / Határ út
51,Török Flóris utca
51,János tér
51,Kossuth Lajos utca
51,Nagysándor József utca
52,Határ út M
52,Mészáros Lőrinc utca
52,Nagykőrösi út / Határ út
52,Mártírok útja / Határ út
52,Jókai Mór utca / Határ út
52,Ősz utca
52,Török Flóris utca
52,János tér
52,Kossuth Lajos utca
52,Nagysándor József utca
52,Vörösmarty utca
52,Pöltenberg utca
52,Klapka utca
52,Akácfa utca
52,Károly utca
52,Ábrahám Géza utca
52,"Pesterzsébet, Pacsirtatelep"
56,Hűvösvölgy
56,Heinrich István utca
56,Völgy utca
56,Vadaskerti utca
